,title,original_language,popularity,vote_count,vote_average
511,Monkey King: Hero Is Back,zh,119.894,165,7.1
512,The Pilgrim's Progress,en,115.666,59,7.9
513,No Manches Frida 2,es,112.368,670,8.1
514,Central Intelligence,en,85.036,4738,6.4
515,Trollhunters: Rise of the Titans,en,114.665,223,7.9
516,Night Teeth,en,115.632,462,6.6
517,Just Go with It,en,114.31,4562,6.6
518,Tangled,en,119.484,9159,7.6
519,Birds of Prey (and the Fantabulous Emancipation of One Harley Quinn),en,120.333,8514,7.0
520,A Boy Called Christmas,en,107.147,412,7.6
521,The Funeral Home,es,101.483,19,4.4
522,Attack on Titan,ja,121.061,540,5.9
523,Scream 4,en,102.292,2539,6.4
524,The Virtuoso,en,113.797,219,6.3
525,Aquaslash,en,105.198,97,4.1
526,Southpaw,en,118.605,4618,7.4
527,Ted,en,116.946,10369,6.4
528,Baywatch,en,113.225,6807,6.1
529,The Scientist,en,99.787,94,6.4
530,Willy's Wonderland,en,116.723,448,6.4
531,Need for Speed,en,106.622,3503,6.3
532,Escape the Undertaker,en,103.363,38,5.5
533,The Dark Knight Rises,en,113.375,18988,7.8
534,Sentinelle,fr,105.584,470,5.9
535,The Simpsons Movie,en,123.12,6595,7.0
536,Grown Ups 2,en,117.887,3326,6.1
537,Vanquish,en,101.478,183,5.8
538,Pirates of the Caribbean: The Curse of the Black Pearl,en,125.165,16985,7.8
539,Millonario sin amor,es,104.986,57,8.0
540,Below Zero,es,116.936,696,6.4
541,Sex with Love,es,128.099,176,6.5
542,From Straight A's to XXX,en,124.049,83,5.7
543,Jonah Hex,en,100.802,1132,4.9
544,Universal Soldier: Regeneration,en,110.551,328,5.6
545,Cars 3,en,112.551,4369,6.8
546,Fifty Shades Darker,en,114.26,6579,6.5
547,El refugio,es,97.727,44,6.3
548,Werewolves Within,en,109.029,247,6.2
549,Dawn of the Planet of the Apes,en,127.236,9279,7.3
550,Orphan,en,105.262,3952,6.9
551,Bad Trip,en,111.887,342,6.1
552,Terminator Genisys,en,120.86,7052,5.9
553,Dragon Ball Z: Cooler's Revenge,ja,110.321,457,6.9
554,Chappie,en,116.439,6688,6.8
