,name,rating,company_type,location,old,emp,reviews
312,Britannia,4.2,Public,"Bangalore/Bengaluru,Karnataka + 133 more",130 years old,1k-5k employees (India),(1k Reviews)
313,Mahindra Rural Hou...,4.1,Public,"Mumbai,Maharashtra + 248 more",15 years old,5k-10k employees (India),(1k Reviews)
314,Access Healthcare,3.9,Private,"Dallas,Texas + 11 more",11 years old,1k-5k employees (India),(1k Reviews)
315,GE,4.3,Private,"Boston,Massachusetts",130 years old,10k-50k employees (India),(1.7k Reviews)
316,Jet Airways,4.6,Public,"Mumbai,Maharashtra + 47 more",29 years old,10k-50k employees (India),(1k Reviews)
317,ADP Solutions,4.2,Public,"Roseland,New Jersey + 9 more",73 years old,1k-5k employees (India),(1k Reviews)
318,GVK Emergency Mana...,3.8,"Hyderabad/Secunderabad,Telangana + 92 more",17 years old,10k-50k employees (India),,(1k Reviews)
319,United Phosphorus,4.3,Public,"Mumbai,Maharashtra + 92 more",53 years old,1k-5k employees (India),(1k Reviews)
320,Sobha,4.0,Public,"Bangalore/Bengaluru,Karnataka",27 years old,1k-5k employees (India),(1k Reviews)
321,Ambuja Cements,4.0,Public,"Mumbai,Maharashtra + 142 more",39 years old,5k-10k employees (India),(1k Reviews)
322,Zensar Technologie...,3.6,Public,"Pune,Maharashtra + 13 more",31 years old,10k-50k employees (Global),(1k Reviews)
323,3i Infotech,3.7,Public,"Mumbai,Maharashtra",29 years old,5k-10k employees (India),(1k Reviews)
324,Walmart,4.1,Private,"Bangalore/Bengaluru,Karnataka",13 years old,5k-10k employees (India),(7k Reviews)
325,Dalmia Bharat Ceme...,4.1,Public,"Delhi/NCR,New Delhi",87 years old,1k-5k employees (India),(1k Reviews)
326,Amara Raja Group,4.2,Public,"Bangalore/Bengaluru,Karnataka",37 years old,10k-50k employees (India),(1.3k Reviews)
327,Oberoi Group of Ho...,4.4,Private,"Delhi/NCR,Delhi + 28 more",88 years old,1k-5k employees (India),(989 Reviews)
328,Tata Motors Financ...,4.3,Private,"Mumbai,Maharashtra + 186 more",65 years old,1k-5k employees (India),(988 Reviews)
329,Shree Cement,4.3,Public,"Kolkata,West Bengal + 123 more",43 years old,5k-10k employees (India),(976 Reviews)
330,Piramal Group,4.0,Private,Mumbai,42 years old,1k-5k employees (India),(1.1k Reviews)
331,JK Tyres,3.9,Private,New Delhi + 95 more,71 years old,1k-5k employees (India),(975 Reviews)
332,Tata Technologies,3.3,Private,Singapore,33 years old,5k-10k employees (India),(990 Reviews)
333,Videocon d2h,3.9,Public,Mumbai + 129 more,13 years old,501-1k employees (India),(966 Reviews)
334,Aarti Industries,4.2,Public,"Mumbai,Maharashtra + 28 more",47 years old,1k-5k employees (India),(962 Reviews)
335,Taj Hotels Resorts...,4.3,"Mumbai,Maharashtra + 60 more",119 years old,10k-50k employees (India),,(961 Reviews)
336,Whirlpool,4.1,Public,"Gurgaon/Gurugram,Haryana + 100 more",20 years old,1k-5k employees (India),(959 Reviews)
337,Gabriel India,4.4,Public,"Pune,Maharashtra + 29 more",61 years old,1k-5k employees (India),(954 Reviews)
338,CARS24.com,3.9,Private,Gurgaon,7 years old,1k-5k employees (India),(970 Reviews)
